date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:52	172/172	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Jun%202020%2010:51:10%20GMT	http://www.lomaspattesting.co.uk/robots.txt		(from )
11:55:53	9898/9898	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2010:51:11%20GMT	http://www.lomaspattesting.co.uk/	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/index.html	(from )
11:55:54	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-494de83c1a840%22	http://www.lomaspattesting.co.uk/images/cms/favicon.ico	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/images/cms/favicon.ico	(from http://www.lomaspattesting.co.uk/)
11:55:55	5391/5391	---MCZ	200	added ('OK')	text/css	etag:W/%220fb967b00a365722251e734d6653e637%22	http://www.lomaspattesting.co.uk/stylesheet.php?cssid=50&mediatype=screen	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/stylesheet7e4d.css	(from http://www.lomaspattesting.co.uk/)
11:55:55	1226/1226	---MCZ	200	added ('OK')	text/css	etag:W/%22aa397a32c3266a92d1e0090922838d85%22	http://www.lomaspattesting.co.uk/stylesheet.php?cssid=51	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/stylesheetc0cf.css	(from http://www.lomaspattesting.co.uk/)
11:55:56	2120/2120	---MCZ	200	added ('OK')	text/css	etag:W/%22440b66cd3da6e6a48105a0d4a677a49d%22	http://www.lomaspattesting.co.uk/stylesheet.php?cssid=52&mediatype=screen	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/stylesheetac34.css	(from http://www.lomaspattesting.co.uk/)
11:55:56	7964/7964	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2010:51:15%20GMT	http://www.lomaspattesting.co.uk/index.php/about-us	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/index.php/about-us.html	(from http://www.lomaspattesting.co.uk/)
11:55:57	8830/8830	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2010:51:15%20GMT	http://www.lomaspattesting.co.uk/index.php/services	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/index.php/services.html	(from http://www.lomaspattesting.co.uk/)
11:55:58	7020/7020	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2010:51:16%20GMT	http://www.lomaspattesting.co.uk/index.php/no-charge	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/index.php/no-charge.html	(from http://www.lomaspattesting.co.uk/)
11:55:59	9994/9994	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2010:51:17%20GMT	http://www.lomaspattesting.co.uk/index.php/loyalty-packages	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/index.php/loyalty-packages.html	(from http://www.lomaspattesting.co.uk/)
11:56:00	9637/9637	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2010:51:18%20GMT	http://www.lomaspattesting.co.uk/index.php/legal	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/index.php/legal.html	(from http://www.lomaspattesting.co.uk/)
11:56:01	8519/8519	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2010:51:19%20GMT	http://www.lomaspattesting.co.uk/index.php/contact-us	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/index.php/contact-us.html	(from http://www.lomaspattesting.co.uk/)
11:56:02	22105/22105	---M--	200	added ('OK')	image/jpeg	etag:%225659-494ee7dc48100%22	http://www.lomaspattesting.co.uk/uploads/images/the_law.jpg	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/uploads/images/the_law.jpg	(from http://www.lomaspattesting.co.uk/)
11:56:07	41632/41632	---M--	200	added ('OK')	image/jpeg	etag:%22a2a0-49d5ec7d5b200%22	http://www.lomaspattesting.co.uk/uploads/images/risk_free.jpg	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/uploads/images/risk_free.jpg	(from http://www.lomaspattesting.co.uk/)
11:56:08	54700/54700	---M--	200	added ('OK')	image/jpeg	etag:%22d5ac-49d5ec72dd940%22	http://www.lomaspattesting.co.uk/uploads/images/do_you_comply.jpg	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/uploads/images/do_you_comply.jpg	(from http://www.lomaspattesting.co.uk/)
11:56:08	860/860	---M--	200	added ('OK')	image/jpeg	etag:%2235c-494de858b6bc0%22	http://www.lomaspattesting.co.uk/images/cms/site_tile.jpg	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/images/cms/site_tile.jpg	(from http://www.lomaspattesting.co.uk/stylesheet.php?cssid=50&mediatype=screen)
11:56:09	42521/42521	---M--	200	added ('OK')	image/jpeg	etag:%22a619-49d5ec676be40%22	http://www.lomaspattesting.co.uk/uploads/images/city_and_guilds.jpg	C:/My%20Web%20Sites/LPT/www.lomaspattesting.co.uk/uploads/images/city_and_guilds.jpg	(from http://www.lomaspattesting.co.uk/)
